REF_AREA,count,mean,median,std,min,max
ISL,6,89.89179999999999,91.6001,8.722752511449578,78.4345,98.5714
EU28,15,85.63056,88.682,8.684545370517187,72.5407,94.2171
GBR,18,81.26927222222223,94.10895,27.692300980593348,3.7024,97.2544
NLD,27,80.60803703703704,92.8798,27.98854968245116,3.1106000000000003,97.6188
FIN,24,79.08714166666667,96.79285,32.53180119333291,8.0655,100.0
AUT,27,78.38006666666668,91.8682,30.101327236927865,3.0359000000000003,100.0
SWE,27,77.30917407407406,91.4146,30.717433080338456,8.6914,99.0835
DNK,27,76.72393333333333,94.3744,30.37416908520994,12.3681,100.0
DEU,27,76.66752592592593,92.9233,31.530474073415103,4.6189,98.6761
NZL,12,76.195789415,85.045263225,26.329086871766222,14.70353503,97.76536313
CAN,12,75.26666666666667,84.30000000000001,28.068174579805227,8.3,94.5
SVN,27,74.79938518518519,87.9846,32.14259999327162,1.2608,100.0
LUX,27,74.14091111111111,88.4274,30.62709000190635,3.8787,99.3082
NOR,27,73.97109259259258,92.1497,29.871253604683673,4.0624,96.3295
ESP,27,73.72501111111112,87.1302,28.125470835078872,6.5269,96.7079
CZE,27,72.87982962962963,90.00359999999999,30.943100215691363,4.001799999999999,95.132
OECD,30,71.86425654836027,88.41152036259109,30.150704069542915,5.763151476485901,94.9093889848396
IRL,27,71.85714074074075,86.19839999999999,27.88973121935548,5.2668,95.6742
LTU,27,71.80871111111111,90.1883,32.91184989525731,3.4039,99.7191
AUS,21,70.30142857142857,81.56,32.410108960895876,2.54,96.39
EU27,27,70.2171925925926,87.4953,30.315954025320195,5.1681,94.6686
BEL,27,68.64482222222222,84.87780000000001,33.509566564700634,8.000300000000001,98.425
FRA,27,67.3328925925926,86.92309999999999,31.190558865549807,4.0899,95.2526
HRV,27,67.06047037037037,86.24199999999999,32.01882118485235,3.9116,96.4914
ITA,27,66.94847407407407,81.9961,29.20797853389737,4.3642,91.7811
COL,18,66.80814092211111,82.221624755,29.26596376936581,4.162514373,94.42424242
SVK,27,66.41854074074074,79.6567,29.035873100333337,5.9511,88.9272
POL,27,65.42449259259259,83.9293,31.892399894825754,2.2496,93.6978
GRC,27,65.10963333333333,76.1286,28.67580027966492,7.5349,92.5575
LVA,27,64.87683703703703,82.5056,31.58538090814201,3.4663,96.3182
EST,27,63.167788888888886,76.95769999999999,36.26142089870905,1.7958999999999998,98.7879
BRA,15,62.03283698733333,76.67273706,26.860824890055607,11.23,89.3
HUN,27,61.01715185185185,77.4156,29.0589949287436,2.9792,87.0078
PRT,26,59.786884615384615,59.89,31.64367997667392,6.6631,96.6318
KOR,27,58.77915595002063,69.07,31.77589326037044,1.7242648696866956,94.34270342236624
BGR,27,54.623303703703705,66.7328,29.093882091528364,2.9615,88.9719
TUR,27,52.05827407407407,62.3767,33.55344171073722,3.4554,90.8765
ISR,3,49.57789837333333,57.82796059,35.32553046751863,10.85741297,80.04832156
ROU,27,47.21771481481482,56.1808,26.46243298000602,1.0741,80.2171
JPN,7,22.04712857585714,5.930139542,33.763279467940436,2.240664721,96.5
USA,9,7.772995932111111,7.455010025,3.8667861307912244,3.487427927,16.12508316
