feature,VIF
Intercept,527982.4224965648
C(REF_AREA)[T.OECD],2.3588124303324607
C(REF_AREA)[T.DNK],2.224599547068439
C(REF_AREA)[T.BGR],2.224599547068438
C(REF_AREA)[T.HRV],2.224599547068438
C(REF_AREA)[T.TUR],2.224599547068438
C(REF_AREA)[T.ITA],2.224599547068438
C(REF_AREA)[T.HUN],2.224599547068438
C(REF_AREA)[T.EU27],2.224599547068438
C(REF_AREA)[T.GRC],2.224599547068438
C(REF_AREA)[T.ESP],2.224599547068438
C(REF_AREA)[T.DEU],2.224599547068438
C(REF_AREA)[T.ROU],2.224599547068438
C(REF_AREA)[T.SVK],2.224599547068438
C(REF_AREA)[T.NOR],2.224599547068438
C(REF_AREA)[T.POL],2.224599547068438
C(REF_AREA)[T.LVA],2.224599547068438
C(REF_AREA)[T.NLD],2.224599547068438
C(REF_AREA)[T.LTU],2.224599547068438
C(REF_AREA)[T.SVN],2.224599547068438
